[0.000000] (-) TimerEvent: {}
[0.000390] (-) JobUnselected: {'identifier': 'DisplayImage'}
[0.000454] (-) JobUnselected: {'identifier': 'Grayscale'}
[0.000504] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000537] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000570] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000602] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000634] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000666] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000697] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000729] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000760] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000792] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000823] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000854] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000884] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000916] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000946] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000977] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001017] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001066] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001099] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001131] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001162] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001194] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001225] (-) JobUnselected: {'identifier': 'flare_detection'}
[0.001257] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001288] (-) JobUnselected: {'identifier': 'my_package'}
[0.001320] (-) JobUnselected: {'identifier': 'pub_controller'}
[0.001351] (-) JobUnselected: {'identifier': 'ros2_color_detection'}
[0.001382] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001415] (-) EventReactorShutdown: {}
